row_id,order_id,order_date,year,month,day_of_week,ship_date,ship_mode,customer_id,customer_name,segment,customer_address_key,country,city,state,postal_code,region,product_id,category,subcategory,product_name,price,sales,quantity,discount,profit
11,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,236.97,1706.184,9,0.2,85.3092
12,CA-2014-115812,2014-06-09,2014,6,Monday,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,BH-11710-90032-Los Angeles-California,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conferenceï¾ phoneï¾ - Charcoal black,284.82,911.424,4,0.2,68.3568
13,CA-2017-114412,2017-04-15,2017,4,Saturday,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,AA-10480-28027-Concord-North Carolina,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,6.48,15.552,3,0.2,5.4432
14,CA-2016-161389,2016-12-05,2016,12,Monday,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,IM-15070-98103-Seattle-Washington,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,169.99,407.976,3,0.2,132.5922
15,US-2015-118983,2015-11-22,2015,11,Sunday,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,HP-14815-76106-Fort Worth-Texas,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,68.81,5,0.8,-123.858
16,US-2015-118983,2015-11-22,2015,11,Sunday,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,HP-14815-76106-Fort Worth-Texas,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,4.24,2.544,3,0.8,-3.816
17,CA-2014-105893,2014-11-11,2014,11,Tuesday,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,PK-19075-53711-Madison-Wisconsin,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",110.98,665.88,6,0.0,13.3176
18,CA-2014-167164,2014-05-13,2014,5,Tuesday,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,AG-10270-84084-West Jordan-Utah,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,27.75,55.5,2,0.0,9.99
19,CA-2014-143336,2014-08-27,2014,8,Wednesday,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,ZD-21925-94109-San Francisco-California,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,4.28,8.56,2,0.0,2.4824
20,CA-2014-143336,2014-08-27,2014,8,Wednesday,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,ZD-21925-94109-San Francisco-California,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,88.95,213.48,3,0.2,16.011
21,CA-2014-143336,2014-08-27,2014,8,Wednesday,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,ZD-21925-94109-San Francisco-California,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",7.1,22.72,4,0.2,7.384
22,CA-2016-137330,2016-12-09,2016,12,Friday,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,KB-16585-68025-Fremont-Nebraska,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,2.78,19.46,7,0.0,5.0596
23,CA-2016-137330,2016-12-09,2016,12,Friday,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,KB-16585-68025-Fremont-Nebraska,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",8.62,60.34,7,0.0,15.6884
24,US-2017-156909,2017-07-16,2017,7,Sunday,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,SF-20065-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",50.98,71.372,2,0.3,-1.0196
25,CA-2015-106320,2015-09-25,2015,9,Friday,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,EB-13870-84057-Orem-Utah,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,348.21,1044.63,3,0.0,240.2649
26,CA-2016-121755,2016-01-16,2016,1,Saturday,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,EH-13945-90049-Los Angeles-California,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,7.28,11.648,2,0.2,4.2224
27,CA-2016-121755,2016-01-16,2016,1,Saturday,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,EH-13945-90049-Los Angeles-California,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imationï¾ 8GB Mini TravelDrive USB 2.0ï¾ Flash Drive,30.19,90.57,3,0.0,11.7741
28,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",880.98,3083.43,7,0.5,-1665.0522
29,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,16.03,9.618,2,0.7,-7.0532
30,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004849,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",51.75,124.2,3,0.2,15.525
31,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,2.04,3.264,2,0.2,1.1016
32,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",17.98,86.304,6,0.2,9.7092
33,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3.81,6.858,6,0.7,-5.715
34,US-2015-150630,2015-09-17,2015,9,Thursday,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-19140-Philadelphia-Pennsylvania,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,9.85,15.76,2,0.2,3.546
35,CA-2017-107727,2017-10-19,2017,10,Thursday,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,MA-17560-77095-Houston-Texas,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,12.28,29.472,3,0.2,9.9468
36,CA-2016-117590,2016-12-08,2016,12,Thursday,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,GH-14485-75080-Richardson-Texas,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,195.99,1097.544,7,0.2,123.4737
37,CA-2016-117590,2016-12-08,2016,12,Thursday,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,GH-14485-75080-Richardson-Texas,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",95.46,190.92,5,0.6,-147.963
38,CA-2015-117415,2015-12-27,2015,12,Sunday,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,SN-20710-77041-Houston-Texas,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",15.74,113.328,9,0.2,35.415
39,CA-2015-117415,2015-12-27,2015,12,Sunday,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,SN-20710-77041-Houston-Texas,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98,532.3992,3,0.32,-46.9764
40,CA-2015-117415,2015-12-27,2015,12,Sunday,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,SN-20710-77041-Houston-Texas,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",100.98,212.058,3,0.3,-15.147
41,CA-2015-117415,2015-12-27,2015,12,Sunday,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,SN-20710-77041-Houston-Texas,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,115.99,371.168,4,0.2,41.7564
42,CA-2017-120999,2017-09-10,2017,9,Sunday,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,LC-16930-60540-Naperville-Illinois,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,45.99,147.168,4,0.2,16.5564
43,CA-2016-101343,2016-07-17,2016,7,Sunday,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,RA-19885-90049-Los Angeles-California,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",38.94,77.88,2,0.0,3.894
44,CA-2017-139619,2017-09-19,2017,9,Tuesday,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,ES-14080-32935-Melbourne-Florida,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",59.76,95.616,2,0.2,9.5616
45,CA-2016-118255,2016-03-11,2016,3,Friday,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,ON-18715-55122-Eagan-Minnesota,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",22.99,45.98,2,0.0,19.7714
46,CA-2016-118255,2016-03-11,2016,3,Friday,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,ON-18715-55122-Eagan-Minnesota,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.73,17.46,2,0.0,8.2062
47,CA-2014-146703,2014-10-20,2014,10,Monday,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,PO-18865-48185-Westland-Michigan,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",52.99,211.96,4,0.0,8.4784
48,CA-2016-169194,2016-06-20,2016,6,Monday,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,LH-16900-19901-Dover-Delaware,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imationï¾ 8gb Micro Traveldrive Usb 2.0ï¾ Flash Drive,15.0,45.0,3,0.0,4.95
49,CA-2016-169194,2016-06-20,2016,6,Monday,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,LH-16900-19901-Dover-Delaware,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",10.9,21.8,2,0.0,6.104
50,CA-2015-115742,2015-04-18,2015,4,Saturday,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,DP-13000-47150-New Albany-Indiana,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6.37,38.22,6,0.0,17.9634
51,CA-2015-115742,2015-04-18,2015,4,Saturday,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,DP-13000-47150-New Albany-Indiana,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,12.53,75.18,6,0.0,35.3346
52,CA-2015-115742,2015-04-18,2015,4,Saturday,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,DP-13000-47150-New Albany-Indiana,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,3.08,6.16,2,0.0,2.9568
53,CA-2015-115742,2015-04-18,2015,4,Saturday,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,DP-13000-47150-New Albany-Indiana,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,89.99,1,0.0,17.0981
54,CA-2016-105816,2016-12-11,2016,12,Sunday,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,JM-15265-10024-New York City-New York,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,2.18,15.26,7,0.0,6.2566
55,CA-2016-105816,2016-12-11,2016,12,Sunday,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,JM-15265-10024-New York City-New York,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,205.99,1029.95,5,0.0,298.6855
56,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,34.76,208.56,6,0.0,52.14
57,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,6.48,32.4,5,0.0,15.552
58,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,70.98,319.41,5,0.1,7.098
59,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",7.28,14.56,2,0.0,6.9888
60,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imationï¾ 8gb Micro Traveldrive Usb 2.0ï¾ Flash Drive,15.0,30.0,2,0.0,3.3
61,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,15.15,48.48,4,0.2,16.362
62,CA-2016-111682,2016-06-17,2016,6,Friday,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,TB-21055-12180-Troy-New York,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.68,1,0.0,0.84
63,CA-2015-135545,2015-11-24,2015,11,Tuesday,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,KM-16720-90004-Los Angeles-California,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.99,13.98,2,0.0,6.1512
64,CA-2015-135545,2015-11-24,2015,11,Tuesday,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,KM-16720-90004-Los Angeles-California,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",5.38,25.824,6,0.2,9.3612
65,CA-2015-135545,2015-11-24,2015,11,Tuesday,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,KM-16720-90004-Los Angeles-California,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,48.91,146.73,3,0.0,68.9631
66,CA-2015-135545,2015-11-24,2015,11,Tuesday,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,KM-16720-90004-Los Angeles-California,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,19.94,79.76,4,0.0,22.3328
67,US-2015-164175,2015-04-30,2015,4,Thursday,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,PS-18970-60610-Chicago-Illinois,United States,Chicago,Illinois,60610,Central,FUR-CH-10001147,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,213.115,5,0.3,-15.2225
68,CA-2014-106376,2014-12-05,2014,12,Friday,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,BS-11590-85234-Gilbert-Arizona,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",173.91,1113.024,8,0.2,111.3024
69,CA-2014-106376,2014-12-05,2014,12,Friday,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,BS-11590-85234-Gilbert-Arizona,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,52.49,167.968,4,0.2,62.988
70,CA-2016-119823,2016-06-04,2016,6,Saturday,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,KD-16270-22153-Springfield-Virginia,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",37.94,75.88,2,0.0,35.6636
71,CA-2016-106075,2016-09-18,2016,9,Sunday,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,HM-14980-10009-New York City-New York,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,5.77,4.616,1,0.2,1.731
72,CA-2017-114440,2017-09-14,2017,9,Thursday,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,TB-21520-49201-Jackson-Michigan,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",6.35,19.05,3,0.0,8.763
73,US-2015-134026,2015-04-26,2015,4,Sunday,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,JE-15745-38109-Memphis-Tennessee,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,129.99,831.936,8,0.2,-114.3912
74,US-2015-134026,2015-04-26,2015,4,Sunday,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,JE-15745-38109-Memphis-Tennessee,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",60.65,97.04,2,0.2,1.213
75,US-2015-134026,2015-04-26,2015,4,Sunday,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,JE-15745-38109-Memphis-Tennessee,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,90.98,72.784,1,0.2,-18.196
76,US-2017-118038,2017-12-09,2017,12,Saturday,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,KB-16600-77041-Houston-Texas,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,2.08,1.248,3,0.8,-1.9344
77,US-2017-118038,2017-12-09,2017,12,Saturday,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,KB-16600-77041-Houston-Texas,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",8.09,9.708,3,0.6,-5.8248
78,US-2017-118038,2017-12-09,2017,12,Saturday,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,KB-16600-77041-Houston-Texas,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",11.35,27.24,3,0.2,2.724
79,US-2014-147606,2014-11-26,2014,11,Wednesday,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,JE-15745-77070-Houston-Texas,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",9.65,19.3,5,0.6,-14.475
80,CA-2016-127208,2016-06-12,2016,6,Sunday,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,SC-20770-35601-Decatur-Alabama,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,208.16,1,0.0,56.2032
81,CA-2016-127208,2016-06-12,2016,6,Sunday,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,SC-20770-35601-Decatur-Alabama,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,5.58,16.74,3,0.0,8.0352
82,CA-2014-139451,2014-10-12,2014,10,Sunday,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,DN-13690-94122-San Francisco-California,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2.98,14.9,5,0.0,4.172
83,CA-2014-139451,2014-10-12,2014,10,Sunday,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,DN-13690-94122-San Francisco-California,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,21.39,1,0.0,6.2031
84,CA-2015-149734,2015-09-03,2015,9,Thursday,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,JC-16105-27707-Durham-North Carolina,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,35.89,200.984,7,0.2,62.8075
85,US-2017-119662,2017-11-13,2017,11,Monday,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,CS-12400-60623-Chicago-Illinois,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,95.99,230.376,3,0.2,-48.9549
